Código;Descrição;Situação;Situação Conferência;Situação Sorter;Cod. SKU;Num. Picking;Num. Pedido;Num. Caixa Plástica;Num. Endereço;Num. Posto;Num. Conferencia;Num. Controle;Cor LED;Data Início;Data Finalização;Data Conferência;Quantidade;Quantidade Separada;Quantidade Conferida;Usuário Operador;Usuário Conferência;Livre 1;Livre 2;Livre 3;Livre 4;Livre 5;Livre 6;Livre 6;Livre 6;Livre 6;Livre 10;
601072;TORN.PAREDE FILTRO BICA MOVEL BR.        M37-ATIVI;F;F;;1771;0000321703;3617902;0100;163482;101;1;;;30/09/2025 01:06;30/09/2025 01:15;30/09/2025 01:45;1;1;1;YURE.OLIVEIRA;CHECK_WEIGHT;3;558676;AGRO;110462;10;AGRO;47623;7897186301372;PESADO;PEÇA;
601137;LUVA RED.ROSCAVEL 3/4x1/2"               285-KRONA;F;F;;11650;0000321711;3617246;321711;154014;2;1;;;30/09/2025 01:06;30/09/2025 01:55;30/09/2025 03:00;1;1;1;ALISON.PEREIRA;LUIS.ALMEIDA;1;558789;PAPELAO;110459;20;PAPELAO;47627;17897801307694;PESADO;CAIXA;
601136;RAB.PVC  30CM                            741-KRONA;F;F;;10452;0000321711;3617246;321711;161975;1;1;;;30/09/2025 01:06;30/09/2025 01:52;30/09/2025 03:00;1;0;0;ALISON.PEREIRA;LUIS.ALMEIDA;1;558750;PAPELAO;110459;20;PAPELAO;47627;17897801300824;PESADO;CAIXA TEMP 3;
601140;REGISTRO ESF.MAQ.LAVAR BR. 1/4 VOLTA  91527-BLUKIT;F;F;;21890;0000321711;3617246;321711;156923;2;1;;;30/09/2025 01:06;30/09/2025 01:55;30/09/2025 03:00;2;2;2;ALISON.PEREIRA;LUIS.ALMEIDA;1;558783;PAPELAO;110459;20;PAPELAO;47627;7898550259183;PESADO;PEÇA;
601139;LUVA SOLDAVEL  25MM                   11743-AMANCO;F;F;;7058;0000321711;3617246;321711;156997;2;1;;;30/09/2025 01:06;30/09/2025 01:55;30/09/2025 03:00;1;1;1;ALISON.PEREIRA;LUIS.ALMEIDA;1;558764;PAPELAO;110459;20;PAPELAO;47627;7891960708166;PESADO;CAIXA;
601138;ADAPT.SOLD.25mmx3/4"                     331-KRONA;F;F;;10301;0000321711;3617246;321711;163656;2;1;;;30/09/2025 01:06;30/09/2025 02:15;30/09/2025 03:00;1;0;0;ALISON.PEREIRA;LUIS.ALMEIDA;1;558758;PAPELAO;110459;20;PAPELAO;47627;17897801300497;PESADO;CAIXA TEMP 2;
601141;JOELHO 45º ESGOTO  40MM               11632-AMANCO;F;F;;36;0000321711;3617246;321711;154172;3;1;;;30/09/2025 01:06;30/09/2025 02:18;30/09/2025 03:00;1;1;1;ELIASJ;LUIS.ALMEIDA;1;558748;PAPELAO;110459;20;PAPELAO;47627;7891960707091;PESADO;CAIXA;
601142;PLACA 4x2 CEGA BR.                 ARIA-TRAMONTINA;F;F;;31969;0000321711;3617246;321711;154030;3;1;;;30/09/2025 01:06;30/09/2025 02:18;30/09/2025 03:00;4;4;4;ELIASJ;LUIS.ALMEIDA;1;558768;PAPELAO;110459;20;PAPELAO;47627;7891435936810;PESADO;PEÇA;
601143;FITA ISOLANTE 10m(18x10m)IMPERIAL               3M;F;F;;6602;0000321711;3617246;321711;150163;5;1;;;30/09/2025 01:06;30/09/2025 02:36;30/09/2025 03:00;2;2;2;WELESON.RODRIGUES;LUIS.ALMEIDA;1;558796;PAPELAO;110459;20;PAPELAO;47627;7891040117307;PESADO;CAIXA TEMP 3;
601144;LAMP.LED 09W/6500K                          -AVANT;F;F;;23215;0000321711;3617246;321711;150324;5;1;;;30/09/2025 01:06;30/09/2025 02:36;30/09/2025 03:00;1;1;1;WELESON.RODRIGUES;LUIS.ALMEIDA;1;558767;PAPELAO;110459;20;PAPELAO;47627;17898238937270;PESADO;CAIXA;
